date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:19	3356/3356	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Apr%202024%2022:10:30%20GMT	https://bracketweb.com/ienet-html-main/assets/vendors/owl-carousel/css/owl.carousel.min.css	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/vendors/owl-carousel/css/owl.carousel.min.css	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:19	1018/1018	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Apr%202024%2022:10:30%20GMT	https://bracketweb.com/ienet-html-main/assets/vendors/owl-carousel/css/owl.theme.default.min.css	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/vendors/owl-carousel/css/owl.theme.default.min.css	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:20	391390/391390	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20May%202024%2010:49:24%20GMT	https://bracketweb.com/ienet-html-main/assets/css/ienet.css	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/css/ienet.css	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:20	3830/3830	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2022:17:20%20GMT	https://bracketweb.com/ienet-html-main/assets/images/loader.png	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/images/loader.png	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:20	134642/134642	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/index.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/index.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:21	14348/14348	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Feb%202024%2018:40:34%20GMT	https://bracketweb.com/ienet-html-main/assets/images/logo-dark.png	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/images/logo-dark.png	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:22	119163/119163	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/index-one-page.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/index-one-page.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:22	117921/117921	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20May%202024%2017:10:44%20GMT	https://bracketweb.com/ienet-html-main/assets/images/landing/home-1.jpg	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/images/landing/home-1.jpg	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:23	119482/119482	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/index-2.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/index-2.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:23	99674/99674	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/index-2-one-page.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/index-2-one-page.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:23	127553/127553	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20May%202024%2017:10:44%20GMT	https://bracketweb.com/ienet-html-main/assets/images/landing/home-2.jpg	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/images/landing/home-2.jpg	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:24	115209/115209	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/index-3.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/index-3.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:24	95398/95398	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/index-3-one-page.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/index-3-one-page.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:24	136230/136230	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20May%202024%2017:10:44%20GMT	https://bracketweb.com/ienet-html-main/assets/images/landing/home-3.jpg	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/images/landing/home-3.jpg	(from https://bracketweb.com/ienet-html-main/about.html)
